anon_polygon_id,date,crop_type,reconstructed,origin,gap_days,truth,algorithm,scope,fold,mask_seed,year,gap_bucket,sensor,candidate,left_1_value,right_1_value,left_1_days,right_1_days,window_30_std,linear_estimate,abs_error,squared_error,truth_outside_neighbors_005,neighbor_disagreement
AOI-0004,2021-08-08,озимая пшеница,0.2295498725087064,interpolated,14,0.5395476748003348,catboost_residual,development_points,4,137,2021,9-30,s2_ndvi,local_mixed,0.5155606637280272,-0.4033418963704858,10.0,4.0,0.24249912144651128,-0.14079830777091062,0.30999780229162843,0.09609863742563955,False,0.918902560098513
AOI-0002,2016-04-08,озимая пшеница,0.5399761594017383,interpolated,15,0.2310489226027441,catboost_residual,development_points,1,137,2016,9-30,landsat_ndvi,local_mixed,0.4892982061618109,0.7126500238663486,1.0,14.0,0.13526080086391495,0.5041883273421134,0.30892723679899414,0.0954360376362618,True,0.22335181770453766
AOI-0026,2010-06-02,озимая пшеница,0.5810697363806958,interpolated,32,0.2744515639673674,catboost_residual,development_points,4,42,2010,31-60,landsat_ndvi,local_mixed,0.4169049802668672,0.7513360458560421,8.0,24.0,0.13659976938354887,0.5005127466641609,0.3066181724133284,0.09401470365408958,True,0.3344310655891749
AOI-0003,2023-10-26,озимая пшеница,0.2769668365991049,interpolated,8,-0.0243796402247097,catboost_residual,development_points,0,42,2023,0-8,landsat_ndvi,local_mixed,0.2071512327193206,0.2492063248198599,5.0,3.0,0.08967972872179539,0.23343566528215767,0.3013464768238146,0.09080969909412583,True,0.042055092100539315
AOI-0075,2019-09-21,озимая пшеница,0.2957932988239569,interpolated,7,-0.0046080982956145,catboost_residual,development_points,0,137,2019,0-8,s2_ndvi,local_mixed,0.3119402323744077,0.3256945552049692,5.0,2.0,0.16760291444476685,0.32176474868195165,0.30040139711957137,0.09024099939139042,True,0.013754322830561494
AOI-0003,2019-05-01,озимая пшеница,0.8471080535043308,interpolated,4,0.5475353177255692,catboost_residual,development_points,0,137,2019,0-8,s2_ndvi,local_mixed,0.8581059074984049,0.9151218080020032,3.0,1.0,0.10347770437535248,0.9008678328761036,0.29957273577876165,0.08974382402197174,True,0.05701590050359828
AOI-0030,2019-06-25,озимая пшеница,0.7013585182748855,interpolated,6,0.4037571607167923,catboost_residual,development_points,3,42,2019,0-8,s2_ndvi,local_mixed,0.7438074257475882,0.6694271555197422,5.0,1.0,0.2112410719918434,0.6818238672243832,0.2976013575580932,0.08856656802042004,True,0.07438027022784599
AOI-0030,2022-04-05,озимая пшеница,0.4190518043037312,extrapolated,3,0.1226668544456112,catboost_residual,development_points,3,42,2022,0-8,s2_ndvi,local_mixed,,0.3882919978729445,,3.0,0.15293628726152358,,0.29638494985812,0.08784403850240029,True,
AOI-0004,2021-08-03,озимая пшеница,0.240430385370878,interpolated,14,0.5327577937992982,catboost_residual,development_points,4,137,2021,9-30,s2_ndvi,local_mixed,0.5155606637280272,-0.4033418963704858,5.0,9.0,0.24992184776049647,0.1873811779785583,0.2923274084284202,0.0854553137184764,False,0.918902560098513
AOI-0023,2020-05-30,подсолнечник,0.6366029550373272,interpolated,8,0.346040056587417,catboost_residual,development_points,0,42,2020,0-8,s2_ndvi,local_mixed,0.6646646741919219,0.66484530653965,2.0,6.0,0.1714519650683555,0.6647098322788539,0.29056289844991023,0.08442679795561285,True,0.00018063234772813797
AOI-0002,2023-06-24,озимая пшеница,0.7658043804036677,interpolated,11,0.4832045124304213,catboost_residual,development_points,1,42,2023,9-30,s2_ndvi,local_mixed,0.8355514233330502,0.748478588103337,1.0,10.0,0.08741197356941684,0.8276357110394399,0.28259986797324643,0.07986268537849632,True,0.08707283522971321
AOI-0002,2023-06-24,озимая пшеница,0.7656610489322562,interpolated,3,0.4832045124304213,catboost_residual,development_points,1,137,2023,0-8,s2_ndvi,local_mixed,0.8355514233330502,0.7352556563245823,1.0,2.0,0.08590980766484552,0.8021195009968942,0.2824565365018349,0.07978169501261238,True,0.10029576700846787
AOI-0050,2017-05-25,озимая пшеница,0.5110146108723775,interpolated,8,0.7926981132075472,catboost_residual,development_points,4,137,2017,0-8,modis_ndvi,local_mixed,0.4337174471323168,0.4537368851295853,6.0,2.0,0.14101306408361508,0.4487320256302682,0.2816835023351697,0.07934559548780755,True,0.02001943799726852
AOI-0002,2023-05-09,озимая пшеница,0.4741286596543816,interpolated,8,0.7557539856801911,catboost_residual,development_points,1,42,2023,0-8,modis_ndvi,local_mixed,0.3831019493881035,0.4810333215635602,3.0,5.0,0.15101261953380238,0.41982621395389974,0.28162532602580953,0.07931282425914352,True,0.09793137217545672
AOI-0053,2022-06-24,озимая пшеница,0.4908053384991399,interpolated,8,0.2144789152450064,catboost_residual,development_points,2,137,2022,0-8,s2_ndvi,local_mixed,0.521862718502648,0.4917717957112457,6.0,2.0,0.13204066062255998,0.4992945264090963,0.2763264232541335,0.07635629218842252,True,0.030090922791402297
AOI-0037,2020-06-23,зерновые,0.3733961975924657,interpolated,16,0.1047511300954876,catboost_residual,development_points,1,137,2020,9-30,s2_ndvi,local_mixed,0.4286894973070018,0.3834345601436266,14.0,2.0,0.13575868864317567,0.3890914272890485,0.2686450674969781,0.07217017229045591,True,0.0452549371633752
AOI-0050,2017-04-25,озимая пшеница,0.2876862538231881,interpolated,9,0.5561929194075959,catboost_residual,development_points,4,137,2017,9-30,landsat_ndvi,local_mixed,0.33101532994255,0.3535146496685674,8.0,1.0,0.13047231033202292,0.35101472525456545,0.2685066655844078,0.07209582946325699,True,0.022499319726017375
AOI-0037,2022-07-21,зерновые,0.0284909908650752,interpolated,5,0.2916475115193188,catboost_residual,development_points,1,42,2022,0-8,s2_ndvi,local_mixed,-0.4026596719541511,0.2947179378207881,2.0,3.0,0.16589642208239347,-0.12370862804417543,0.26315652065424355,0.06925135436284731,False,0.6973776097749391
AOI-0043,2016-10-01,зерновые,0.5324163154109904,interpolated,10,0.2697499027330102,catboost_residual,development_points,4,137,2016,9-30,landsat_ndvi,local_mixed,0.5974550674781689,0.6203463637790004,2.0,8.0,0.1984085633123519,0.6020333267383352,0.26266641267798024,0.06899364434911902,True,0.022891296300831532
AOI-0003,2021-06-21,озимая пшеница,0.615210444063952,interpolated,7,0.8766790958453843,catboost_residual,development_points,0,42,2021,0-8,s2_ndvi,local_mixed,0.8142498495858936,0.3130451908396946,2.0,5.0,0.2604965143552992,0.671048518515551,0.2614686517814323,0.0683658558643999,True,0.501204658746199
AOI-0064,2023-05-09,озимая пшеница,0.4544264639447677,interpolated,7,0.7156217682799079,catboost_residual,development_points,1,42,2023,0-8,modis_ndvi,local_mixed,0.3436815201495471,0.3616264377190011,4.0,3.0,0.22253820239519406,0.3539357587606637,0.26119530433514015,0.06822298700672648,True,0.01794491756945399
AOI-0050,2017-05-09,озимая пшеница,0.4540674295891997,interpolated,13,0.7148188679245283,catboost_residual,development_points,4,42,2017,9-30,modis_ndvi,local_mixed,0.3053091011101972,0.4337174471323168,3.0,10.0,0.1341375041452631,0.33494179634607096,0.2607514383353286,0.06799131259394267,True,0.1284083460221196
AOI-0035,2019-04-05,пастбища/зерновые,0.5333015334250659,extrapolated,2,0.2764803099700212,catboost_residual,development_points,2,42,2019,0-8,s2_ndvi,local_mixed,,0.6025463174114022,,2.0,0.08137181184826432,,0.2568212234550447,0.06595714081694601,True,
AOI-0003,2023-10-26,озимая пшеница,0.2313483032543424,interpolated,8,-0.0243796402247097,catboost_residual,development_points,0,137,2023,0-8,landsat_ndvi,local_mixed,0.2071512327193206,0.2492063248198599,5.0,3.0,0.10158311039051102,0.23343566528215767,0.2557279434790521,0.06539678107602526,True,0.042055092100539315
AOI-0043,2013-06-10,зерновые,0.646786552174559,interpolated,17,0.3948490870600689,catboost_residual,development_points,4,137,2013,9-30,modis_ndvi,local_mixed,0.7827680074093676,0.4904555465848869,16.0,1.0,0.1915950667065327,0.5076503972216211,0.25193746511449017,0.06347248632831495,True,0.2923124608244807
AOI-0053,2017-07-30,озимая пшеница,0.3989340713992362,interpolated,3,0.6491970798075205,catboost_residual,development_points,2,42,2017,0-8,landsat_ndvi,local_mixed,0.4938286626289082,0.4495630421967622,2.0,1.0,0.11026531021798233,0.46431824900747753,0.2502630084082843,0.06263157337756498,True,0.04426562043214599
AOI-0064,2021-05-09,озимая пшеница,0.3606974202823198,interpolated,4,0.6106676723234864,catboost_residual,development_points,1,137,2021,0-8,modis_ndvi,local_mixed,0.3117736817037991,0.2596252796092398,1.0,3.0,0.12836155039760752,0.2987365811801593,0.24997025204116657,0.062485126905524345,True,0.05214840209455929
AOI-0053,2017-07-30,озимая пшеница,0.3992416316379371,interpolated,3,0.6491970798075205,catboost_residual,development_points,2,137,2017,0-8,landsat_ndvi,local_mixed,0.4938286626289082,0.4495630421967622,2.0,1.0,0.12289165268164254,0.46431824900747753,0.24995544816958343,0.062477726069657305,True,0.04426562043214599
AOI-0064,2012-07-18,озимая пшеница,0.5254766468633747,interpolated,16,0.7746233104530363,catboost_residual,development_points,1,42,2012,9-30,landsat_ndvi,local_mixed,0.6719225644248902,0.4004316781898178,7.0,9.0,0.1452752695187921,0.553145301697046,0.24914666358966164,0.06207405997786003,True,0.2714908862350724
AOI-0030,2020-06-29,озимая пшеница,0.6638564262781723,interpolated,9,0.4156711502428671,catboost_residual,development_points,3,42,2020,9-30,s2_ndvi,local_mixed,0.6690870265914586,0.7395427383621483,4.0,5.0,0.05646112638805356,0.7004006762673207,0.2481852760353052,0.061595931240720644,True,0.07045571177068977
AOI-0071,2022-04-23,зерновые,0.3573412178275895,interpolated,8,0.6053011363636364,catboost_residual,development_points,4,42,2022,0-8,modis_ndvi,local_mixed,0.2811634281740433,0.2834639368901413,6.0,2.0,0.11282755755548818,0.2828888097111168,0.24795991853604687,0.061484121200403,True,0.0023005087160980486
AOI-0041,2013-10-16,зерновые,0.3868255850978561,climatology_fallback,16,0.6341836609336611,catboost_residual,development_points,3,42,2013,9-30,modis_ndvi,local_mixed,0.5710273955773957,,16.0,,0.0,,0.247358075835805,0.061186017681191855,True,
AOI-0007,2021-06-21,озимая пшеница,0.6395412851423451,interpolated,10,0.8862641297754508,catboost_residual,development_points,3,137,2021,9-30,s2_ndvi,local_mixed,0.8657376567945362,0.443654668141941,2.0,8.0,0.22530672062075813,0.7813210590640172,0.24672284463310568,0.060872162063851605,False,0.4220829886525952
AOI-0015,2019-07-30,озимая пшеница,0.4918317145058572,interpolated,8,0.2452809912726311,catboost_residual,development_points,2,137,2019,0-8,s2_ndvi,local_mixed,0.4833762204200312,0.4282829055967715,1.0,7.0,0.13806550700256154,0.47648955606712373,0.24655072323322613,0.06078725912682687,True,0.05509331482325969
AOI-0003,2020-06-14,озимая пшеница,0.697807568743748,interpolated,15,0.943201749249385,catboost_residual,development_points,0,42,2020,9-30,s2_ndvi,local_mixed,0.7883182026194754,0.5047904342906302,5.0,10.0,0.2277903871489271,0.6938089465098604,0.245394180505637,0.06021830382603315,True,0.2835277683288452
